item,category,quantity,unit_cost,total_cost
Monthly Rent,Rent,9,280.17,2521.53
Business Registration,License,5,5985.17,29925.85
Cups 50pcs,Packaging,5,737.3,3686.5
Lids 50pcs,Packaging,9,5995.35,53958.15
Sealing Film Roll,Packaging,3,5325.11,15975.33
Maintenance Fee,Rent,9,9289.29,83603.61
Food Safety Permit,License,7,478.22,3347.54
Creamer 500g,Raw Material,5,9146.17,45730.85
Black Tea 1kg,Raw Material,3,6942.46,20827.38
Opening Promotion,Marketing,1,711.26,711.26
Sealing Film Roll,Packaging,6,6649.14,39894.84
Business Registration,License,6,6094.68,36568.08
Syrup Bottle,Raw Material,3,8514.33,25542.99
Business Registration,License,5,5426.87,27134.35
Maintenance Fee,Rent,7,1998.84,13991.88
Opening Promotion,Marketing,2,8443.54,16887.08
Creamer 500g,Raw Material,3,4980.19,14940.57
Food Safety Permit,License,6,961.52,5769.12
Opening Promotion,Marketing,1,7409.57,7409.57
Ice Maker,Equipment,5,5072.82,25364.1
Food Safety Permit,License,8,9547.42,76379.36
Business Registration,License,1,6027.5,6027.5
Facebook Ads,Marketing,7,807.8,5654.6
Business Registration,License,4,8248.71,32994.84
Syrup Bottle,Raw Material,6,9046.03,54276.18
Syrup Bottle,Raw Material,1,1285.34,1285.34
Facebook Ads,Marketing,7,3162.98,22140.86
Monthly Rent,Rent,10,9614.8,96148.0
Monthly Rent,Rent,4,3179.58,12718.32
Milk 1L,Raw Material,10,3685.74,36857.4
Business Registration,License,2,6438.58,12877.16
Flyers,Marketing,6,3477.8,20866.8
Black Tea 1kg,Raw Material,1,2514.63,2514.63
Business Registration,License,2,1717.47,3434.94
Cups 50pcs,Packaging,7,7414.77,51903.39
Water Filter,Equipment,5,2940.77,14703.85
Green Tea 1kg,Raw Material,10,7814.82,78148.2
Tapioca Pearls 1kg,Raw Material,5,1679.98,8399.9
Ice Maker,Equipment,9,3225.94,29033.46
Facebook Ads,Marketing,9,5759.67,51837.03
POS Terminal,Equipment,10,6971.45,69714.5
Lids 50pcs,Packaging,5,1954.18,9770.9
Business Registration,License,10,5743.08,57430.8
Opening Promotion,Marketing,8,6188.09,49504.72
Monthly Rent,Rent,5,3251.88,16259.4
Business Registration,License,1,6163.29,6163.29
Ice Maker,Equipment,2,9156.14,18312.28
Ice Maker,Equipment,2,1687.93,3375.86
Lids 50pcs,Packaging,8,3861.79,30894.32
Maintenance Fee,Rent,2,9955.07,19910.14
POS Terminal,Equipment,8,1622.69,12981.52
POS Terminal,Equipment,3,1801.99,5405.97
Flyers,Marketing,1,2474.78,2474.78
Black Tea 1kg,Raw Material,4,4509.58,18038.32
Food Safety Permit,License,6,2089.67,12538.02
Sealing Machine,Equipment,5,7945.65,39728.25
Tapioca Pearls 1kg,Raw Material,1,9912.74,9912.74
Maintenance Fee,Rent,7,2236.68,15656.76
Lids 50pcs,Packaging,9,6215.01,55935.09
Facebook Ads,Marketing,7,147.87,1035.09
Monthly Rent,Rent,4,7926.64,31706.56
Green Tea 1kg,Raw Material,1,5173.6,5173.6
Monthly Rent,Rent,10,7260.97,72609.7
Milk 1L,Raw Material,7,2455.84,17190.88
Flyers,Marketing,4,6502.56,26010.24
Business Registration,License,7,527.91,3695.37
Tapioca Pearls 1kg,Raw Material,10,1625.43,16254.3
Tapioca Pearls 1kg,Raw Material,4,295.39,1181.56
Refrigerator,Equipment,3,2583.2,7749.6
Food Safety Permit,License,7,6449.37,45145.59
Black Tea 1kg,Raw Material,8,4639.43,37115.44
Water Filter,Equipment,5,2027.75,10138.75
Food Safety Permit,License,8,2265.89,18127.12
Flyers,Marketing,8,5046.39,40371.12
Business Registration,License,5,6998.96,34994.8
Maintenance Fee,Rent,10,6039.56,60395.6
Maintenance Fee,Rent,7,3948.23,27637.61
Black Tea 1kg,Raw Material,10,9640.06,96400.6
Tapioca Pearls 1kg,Raw Material,9,9524.7,85722.3
Food Safety Permit,License,3,1240.39,3721.17
Ice Maker,Equipment,3,2582.84,7748.52
Facebook Ads,Marketing,5,6765.8,33829.0
Maintenance Fee,Rent,10,371.15,3711.5
Business Registration,License,2,3930.91,7861.82
Opening Promotion,Marketing,9,1692.47,15232.23
POS Terminal,Equipment,3,6266.08,18798.24
Milk 1L,Raw Material,9,1697.61,15278.49
Refrigerator,Equipment,1,6545.43,6545.43
Flyers,Marketing,8,2779.72,22237.76
Creamer 500g,Raw Material,1,3575.03,3575.03
Water Filter,Equipment,4,2585.87,10343.48
Opening Promotion,Marketing,4,3696.49,14785.96
Lids 50pcs,Packaging,7,1512.54,10587.78
Business Registration,License,9,9782.55,88042.95
Monthly Rent,Rent,7,7094.3,49660.1
Milk 1L,Raw Material,6,9888.27,59329.62
Sealing Film Roll,Packaging,1,899.06,899.06
Facebook Ads,Marketing,10,9261.98,92619.8
Facebook Ads,Marketing,2,8651.34,17302.68
Food Safety Permit,License,1,6849.02,6849.02
Sealing Film Roll,Packaging,9,570.92,5138.28
POS Terminal,Equipment,8,2135.15,17081.2
Milk 1L,Raw Material,4,4041.37,16165.48
Water Filter,Equipment,9,3140.88,28267.92
Opening Promotion,Marketing,6,843.47,5060.82
Monthly Rent,Rent,2,3233.94,6467.88
Maintenance Fee,Rent,10,371.2,3712.0
Water Filter,Equipment,2,7337.83,14675.66
Food Safety Permit,License,8,119.33,954.64
Maintenance Fee,Rent,3,1024.89,3074.67
Food Safety Permit,License,8,1602.11,12816.88
Opening Promotion,Marketing,6,229.77,1378.62
Flyers,Marketing,9,9902.43,89121.87
Facebook Ads,Marketing,2,954.45,1908.9
Black Tea 1kg,Raw Material,3,2820.47,8461.41
Lids 50pcs,Packaging,6,4329.27,25975.62
Facebook Ads,Marketing,3,387.48,1162.44
Green Tea 1kg,Raw Material,5,1222.85,6114.25
Facebook Ads,Marketing,2,2280.75,4561.5
POS Terminal,Equipment,9,8318.97,74870.73
Sealing Film Roll,Packaging,10,9949.25,99492.5
Opening Promotion,Marketing,4,2577.34,10309.36
Opening Promotion,Marketing,9,8616.67,77550.03
Straws 50pcs,Packaging,5,9389.32,46946.6
Opening Promotion,Marketing,3,4172.97,12518.91
Tea Brewer,Equipment,10,4572.12,45721.2
Tapioca Pearls 1kg,Raw Material,6,4427.65,26565.9
POS Terminal,Equipment,6,6804.17,40825.02
Monthly Rent,Rent,6,9613.89,57683.34
Business Registration,License,2,9419.39,18838.78
Cups 50pcs,Packaging,6,2968.61,17811.66
Food Safety Permit,License,1,3264.36,3264.36
Black Tea 1kg,Raw Material,8,7227.34,57818.72
Syrup Bottle,Raw Material,1,8561.96,8561.96
Business Registration,License,5,3889.73,19448.65
Creamer 500g,Raw Material,7,722.95,5060.65
Business Registration,License,4,4935.02,19740.08
POS Terminal,Equipment,9,7932.88,71395.92
Syrup Bottle,Raw Material,2,4941.21,9882.42
Food Safety Permit,License,10,5651.47,56514.7
Maintenance Fee,Rent,10,6987.1,69871.0
Monthly Rent,Rent,5,4425.57,22127.85
Sealing Film Roll,Packaging,4,1675.2,6700.8
Tea Brewer,Equipment,4,9424.57,37698.28
Creamer 500g,Raw Material,9,9990.34,89913.06
Food Safety Permit,License,1,5669.2,5669.2
Opening Promotion,Marketing,8,1449.87,11598.96
Maintenance Fee,Rent,3,9634.26,28902.78
Monthly Rent,Rent,8,553.16,4425.28
Refrigerator,Equipment,2,4506.18,9012.36
Food Safety Permit,License,5,261.6,1308.0
Business Registration,License,1,9075.07,9075.07
Facebook Ads,Marketing,9,9468.54,85216.86
Refrigerator,Equipment,9,5299.8,47698.2
Sealing Film Roll,Packaging,1,132.48,132.48
Straws 50pcs,Packaging,3,8480.36,25441.08
Maintenance Fee,Rent,2,142.89,285.78
Monthly Rent,Rent,6,3060.62,18363.72
Facebook Ads,Marketing,3,8344.04,25032.12
Black Tea 1kg,Raw Material,10,2681.87,26818.7
Water Filter,Equipment,6,2695.97,16175.82
Opening Promotion,Marketing,3,8403.57,25210.71
Monthly Rent,Rent,9,5377.62,48398.58
Syrup Bottle,Raw Material,1,2641.29,2641.29
Tea Brewer,Equipment,3,3758.77,11276.31
Facebook Ads,Marketing,8,9556.61,76452.88
Lids 50pcs,Packaging,2,3826.3,7652.6
Lids 50pcs,Packaging,7,463.67,3245.69
Milk 1L,Raw Material,4,2616.42,10465.68
Business Registration,License,8,5419.33,43354.64
Tapioca Pearls 1kg,Raw Material,4,3268.22,13072.88
Tea Brewer,Equipment,3,5914.42,17743.26
